ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize
NSECM,13620,8,ANANTRAJ,ANANTRAJ-EQ,EQ,ANANTRAJ-EQ,1100100013620,59,53.4,1779135,0.05,1
NSECM,31409,8,MTEDUCARE,MTEDUCARE-EQ,EQ,MTEDUCARE-EQ,1100100031409,9.45,6.35,2361857,0.05,1
NSECM,14582,8,SRHHYPOLTD,SRHHYPOLTD-EQ,EQ,SRHHYPOLTD-EQ,1100100014582,330,220,363619,0.05,1
NSECM,7838,8,NETF,NETF-EQ,EQ,NETF-EQ,1100100007838,186.62,124.42,91874,0.01,1
NSECM,13648,8,TALBROAUTO,TALBROAUTO-EQ,EQ,TALBROAUTO-EQ,1100100013648,279.4,186.3,403702,0.05,1
NSECM,22,8,ACC,ACC-EQ,EQ,ACC-EQ,1100100000022,1966.4,1608.9,55772,0.05,1
NSECM,6286,8,GULPOLY,GULPOLY-EQ,EQ,GULPOLY-EQ,1100100006286,113.25,75.55,1059292,0.05,1
NSECM,1338,8,SDBL,SDBL-EQ,EQ,SDBL-EQ,1100100001338,39.3,26.2,2125099,0.05,1
NSECM,21713,8,LASA,LASA-EQ,EQ,LASA-EQ,1100100021713,81.9,54.6,1329996,0.05,1
NSECM,10993,8,INDORAMA,INDORAMA-EQ,EQ,INDORAMA-EQ,1100100010993,42.2,34.6,2604081,0.05,1
NSECM,5688,8,ARCHIES,ARCHIES-EQ,EQ,ARCHIES-EQ,1100100005688,13,10.7,1104605,0.05,1
NSECM,2183,8,SUNDARMHLD,SUNDARMHLD-EQ,EQ,SUNDARMHLD-EQ,1100100002183,96.8,64.6,1239051,0.05,1
NSECM,17376,8,EXCEL,EXCEL-EQ,EQ,EXCEL-EQ,1100100017376,2.9,2.7,3075315,0.05,1
NSECM,22602,8,PFS,PFS-EQ,EQ,PFS-EQ,1100100022602,24.95,16.65,4807490,0.05,1
NSECM,21508,8,COCHINSHIP,COCHINSHIP-EQ,EQ,COCHINSHIP-EQ,1100100021508,458.9,306,261370,0.05,1
NSECM,11735,8,GDL,GDL-EQ,EQ,GDL-EQ,1100100011735,203.75,166.75,539790,0.05,1
NSECM,11480,8,KRIDHANINF,KRIDHANINF-EQ,EQ,KRIDHANINF-EQ,1100100011480,4.05,3.75,3099280,0.05,1
NSECM,18292,8,IVZINGOLD,IVZINGOLD-EQ,EQ,IVZINGOLD-EQ,1100100018292,4825.9,3217.3,5139,0.05,1
NSECM,3834,8,BHARATRAS,BHARATRAS-EQ,EQ,BHARATRAS-EQ,1100100003834,11763.4,7842.3,10196,0.05,1
NSECM,3021,8,SOTL,SOTL-EQ,EQ,SOTL-EQ,1100100003021,1221.3,814.2,98244,0.05,1
NSECM,11452,8,CCL,CCL-EQ,EQ,CCL-EQ,1100100011452,298.2,198.8,402409,0.05,1
NSECM,9819,8,HAVELLS,HAVELLS-EQ,EQ,HAVELLS-EQ,1100100009819,1213.4,992.8,90145,0.05,1
NSECM,24217,8,IVZINNIFTY,IVZINNIFTY-EQ,EQ,IVZINNIFTY-EQ,1100100024217,1967.55,1311.71,556,0.01,1
NSECM,16292,8,PANACHE,PANACHE-EQ,EQ,PANACHE-EQ,1100100016292,57.3,38.2,392399,0.05,1
NSECM,17700,8,NETFLTGILT,NETFLTGILT-EQ,EQ,NETFLTGILT-EQ,1100100017700,26.25,17.51,425644,0.01,1
NSECM,29553,8,ICICINIFTY,ICICINIFTY-EQ,EQ,ICICINIFTY-EQ,1100100029553,193.65,129.11,619559,0.01,1
NSECM,11671,8,PRESSMN,PRESSMN-EQ,EQ,PRESSMN-EQ,1100100011671,28.65,19.15,767888,0.05,1
NSECM,21614,8,ABCAPITAL,ABCAPITAL-EQ,EQ,ABCAPITAL-EQ,1100100021614,157.55,105.05,760712,0.05,1
NSECM,1073,8,FOSECOIND,FOSECOIND-EQ,EQ,FOSECOIND-EQ,1100100001073,1466.5,977.7,81823,0.05,1
NSECM,19205,8,TMRVL,TMRVL-EQ,EQ,TMRVL-EQ,1100100019205,14.55,13.25,722101,0.05,1
NSECM,11677,8,INDOCO,INDOCO-EQ,EQ,INDOCO-EQ,1100100011677,351.35,234.25,341509,0.05,1
NSECM,8124,8,AJANTPHARM,AJANTPHARM-EQ,EQ,AJANTPHARM-EQ,1100100008124,2199.8,1466.6,54541,0.05,1
NSECM,4503,8,MPHASIS,MPHASIS-EQ,EQ,MPHASIS-EQ,1100100004503,1778.8,1455.4,61808,0.05,1
NSECM,2739,8,PRSMJOHNSN,PRSMJOHNSN-EQ,EQ,PRSMJOHNSN-EQ,1100100002739,136.1,90.8,881377,0.05,1
NSECM,17527,8,MAHASTEEL,MAHASTEEL-EQ,EQ,MAHASTEEL-EQ,1100100017527,105.65,70.45,482992,0.05,1
NSECM,21541,8,JUBLINDS,JUBLINDS-EQ,EQ,JUBLINDS-EQ,1100100021541,249.5,166.4,480874,0.05,1
NSECM,8050,8,MAHLIFE,MAHLIFE-EQ,EQ,MAHLIFE-EQ,1100100008050,658.2,438.8,182299,0.05,1
NSECM,1190,8,FMGOETZE,FMGOETZE-EQ,EQ,FMGOETZE-EQ,1100100001190,338.15,276.75,325225,0.05,1
NSECM,14947,8,MOTILALOFS,MOTILALOFS-EQ,EQ,MOTILALOFS-EQ,1100100014947,780.65,520.45,153571,0.05,1
NSECM,1565,8,RVHL,RVHL-EQ,EQ,RVHL-EQ,1100100001565,21.5,19.5,2002899,0.05,1
NSECM,958,8,ESCORTS,ESCORTS-EQ,EQ,ESCORTS-EQ,1100100000958,1518.7,1242.6,72406,0.05,1
NSECM,426,8,BHARATGEAR,BHARATGEAR-EQ,EQ,BHARATGEAR-EQ,1100100000426,93.3,76.4,304309,0.05,1
NSECM,4986,8,IRCON,IRCON-EQ,EQ,IRCON-EQ,1100100004986,104.5,69.7,1147899,0.05,1
NSECM,1100,8,GARFIBRES,GARFIBRES-EQ,EQ,GARFIBRES-EQ,1100100001100,3045.15,2030.15,39387,0.05,1
NSECM,16639,8,KIRIINDUS,KIRIINDUS-EQ,EQ,KIRIINDUS-EQ,1100100016639,553.05,368.75,216954,0.05,1
NSECM,17875,8,GODREJPROP,GODREJPROP-EQ,EQ,GODREJPROP-EQ,1100100017875,1595.05,1305.05,68818,0.05,1
NSECM,9685,8,TRIDENT,TRIDENT-EQ,EQ,TRIDENT-EQ,1100100009685,16.8,13.8,6533015,0.05,1
NSECM,9059,8,NIFTYEES,NIFTYEES-EQ,EQ,NIFTYEES-EQ,1100100009059,19780.39,13186.93,364,0.01,1
NSECM,6216,8,CAMLINFINE,CAMLINFINE-EQ,EQ,CAMLINFINE-EQ,1100100006216,168.1,112.1,713659,0.05,1
NSECM,22277,8,WORTH,WORTH-EQ,EQ,WORTH-EQ,1100100022277,67.4,45,515057,0.05,1
NSECM,6051,8,CYBERTECH,CYBERTECH-EQ,EQ,CYBERTECH-EQ,1100100006051,143.75,117.65,765089,0.05,1
NSECM,14058,8,SANGHVIMOV,SANGHVIMOV-EQ,EQ,SANGHVIMOV-EQ,1100100014058,139.2,92.8,862037,0.05,1
NSECM,14567,8,BFUTILITIE,BFUTILITIE-EQ,EQ,BFUTILITIE-EQ,1100100014567,340.85,227.25,352041,0.05,1
NSECM,19913,8,DMART,DMART-EQ,EQ,DMART-EQ,1100100019913,3755.2,2503.5,31740,0.05,1
NSECM,11233,8,SUVEN,SUVEN-EQ,EQ,SUVEN-EQ,1100100011233,89.8,73.5,1224712,0.05,1
NSECM,21095,8,SPYL,SPYL-EQ,EQ,SPYL-EQ,1100100021095,0.5,0.4,11271689,0.05,1
NSECM,760,8,CGPOWER,CGPOWER-EQ,EQ,CGPOWER-EQ,1100100000760,64.65,58.55,1622991,0.05,1
NSECM,3906,8,CAPLIPOINT,CAPLIPOINT-EQ,EQ,CAPLIPOINT-EQ,1100100003906,550.55,367.05,217926,0.05,1
