ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,61976,2,FINNIFTY,FINNIFTY21MAY15900CE,OPTIDX,FINNIFTY-OPTIDX,2114700061976,2780.55,556.25,5001,0.05,40,-1,Nifty Fin Service,2021-05-27T14:30:00,15900,3
NSEFO,61996,2,FINNIFTY,FINNIFTY21MAY16900CE,OPTIDX,FINNIFTY-OPTIDX,2114700061996,2048.45,267.15,5001,0.05,40,-1,Nifty Fin Service,2021-05-27T14:30:00,16900,3
NSEFO,66679,2,NIFTY,NIFTY21APR15200PE,OPTIDX,NIFTY-OPTIDX,2111900066679,1014.55,0.05,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,15200,4
NSEFO,36941,2,BANKNIFTY,BANKNIFTY21APR33700PE,OPTIDX,BANKNIFTY-OPTIDX,2111900036941,2317.45,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,33700,4
NSEFO,59888,2,FINNIFTY,FINNIFTY2142214300CE,OPTIDX,FINNIFTY-OPTIDX,2111200059888,4062.2,1026.5,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,14300,3
NSEFO,42251,2,NIFTY,NIFTY2150614600PE,OPTIDX,NIFTY-OPTIDX,2112600042251,811.3,32.8,5001,0.05,75,-1,Nifty 50,2021-05-06T14:30:00,14600,4
NSEFO,42186,2,NIFTY,NIFTY2150614100CE,OPTIDX,NIFTY-OPTIDX,2112600042186,2202.25,479.15,5001,0.05,75,-1,Nifty 50,2021-05-06T14:30:00,14100,3
NSEFO,61990,2,FINNIFTY,FINNIFTY21MAY16600CE,OPTIDX,FINNIFTY-OPTIDX,2114700061990,2254.4,339.9,5001,0.05,40,-1,Nifty Fin Service,2021-05-27T14:30:00,16600,3
NSEFO,41410,2,BANKNIFTY,BANKNIFTY2150635300PE,OPTIDX,BANKNIFTY-OPTIDX,2112600041410,3542.8,347.8,2501,0.05,25,-1,Nifty Bank,2021-05-06T14:30:00,35300,4
NSEFO,59759,2,BANKNIFTY,BANKNIFTY2142238200PE,OPTIDX,BANKNIFTY-OPTIDX,2111200059759,5791.1,915.4,2501,0.05,25,-1,Nifty Bank,2021-04-22T14:30:00,38200,4
NSEFO,62243,2,NIFTY,NIFTY21MAY14550CE,OPTIDX,NIFTY-OPTIDX,2114700062243,1907.15,418.05,5001,0.05,75,-1,Nifty 50,2021-05-27T14:30:00,14550,3
NSEFO,39630,2,BANKNIFTY,BANKNIFTY21APR38800PE,OPTIDX,BANKNIFTY-OPTIDX,2111900039630,6423.45,1369.75,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,38800,4
NSEFO,62168,2,BANKNIFTY,BANKNIFTY2131827600CE,OPTIDX,BANKNIFTY-OPTIDX,2107700062168,12142.1,4440.3,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,27600,3
NSEFO,45055,2,BANKNIFTY,BANKNIFTY2141539800CE,OPTIDX,BANKNIFTY-OPTIDX,2110500045055,1555.35,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-15T14:30:00,39800,3
