ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,63079,2,FINNIFTY,FINNIFTY21MAR12000PE,OPTIDX,FINNIFTY-OPTIDX,2108400063079,3.3,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-25T14:30:00,12000,4
NSEFO,39265,2,NIFTY,NIFTY21DEC11500PE,OPTIDX,NIFTY-OPTIDX,2136400039265,347.1,106.3,5001,0.05,75,-1,Nifty 50,2021-12-30T14:30:00,11500,4
NSEFO,63081,2,FINNIFTY,FINNIFTY2140111700PE,OPTIDX,FINNIFTY-OPTIDX,2109100063081,3.55,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,11700,4
NSEFO,44773,2,BANKNIFTY,BANKNIFTY2131039400PE,OPTIDX,BANKNIFTY-OPTIDX,2106900044773,7638.7,336.2,2501,0.05,25,-1,Nifty Bank,2021-03-10T14:30:00,39400,4
NSEFO,39853,2,FINNIFTY,FINNIFTY2131819000PE,OPTIDX,FINNIFTY-OPTIDX,2107700039853,4208.9,977.9,5001,0.05,40,-1,Nifty Fin Service,2021-03-18T14:30:00,19000,4
NSEFO,61707,2,BANKNIFTY,BANKNIFTY21MAY34000CE,OPTIDX,BANKNIFTY-OPTIDX,2114700061707,6127.2,1266.5,2501,0.05,25,-1,Nifty Bank,2021-05-27T14:30:00,34000,3
NSEFO,48204,2,NIFTY,NIFTY2130413400CE,OPTIDX,NIFTY-OPTIDX,2106300048204,2665.95,417.95,5001,0.05,75,-1,Nifty 50,2021-03-04T14:30:00,13400,3
NSEFO,44510,2,FINNIFTY,FINNIFTY2130413000CE,OPTIDX,FINNIFTY-OPTIDX,2106300044510,5086.85,1715.55,5001,0.05,40,-1,Nifty Fin Service,2021-03-04T14:30:00,13000,3
NSEFO,36298,2,NIFTY,NIFTY21MAR15600PE,OPTIDX,NIFTY-OPTIDX,2108400036298,1510.75,0.05,5001,0.05,75,-1,Nifty 50,2021-03-25T14:30:00,15600,4
NSEFO,43443,2,FINNIFTY,FINNIFTY2140817600PE,OPTIDX,FINNIFTY-OPTIDX,2109800043443,2680.6,382.2,5001,0.05,40,-1,Nifty Fin Service,2021-04-08T14:30:00,17600,4
NSEFO,45782,2,NIFTY,NIFTY2130415850CE,OPTIDX,NIFTY-OPTIDX,2106300045782,4.6,0.05,5001,0.05,75,-1,Nifty 50,2021-03-04T14:30:00,15850,3
NSEFO,43082,2,BANKNIFTY,BANKNIFTY2140835800PE,OPTIDX,BANKNIFTY-OPTIDX,2109800043082,3874.2,93.8,2501,0.05,25,-1,Nifty Bank,2021-04-08T14:30:00,35800,4
NSEFO,66661,2,NIFTY,NIFTY21APR15050CE,OPTIDX,NIFTY-OPTIDX,2111900066661,1055.7,0.05,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,15050,3
NSEFO,56310,2,NIFTY,NIFTY2131813350PE,OPTIDX,NIFTY-OPTIDX,2107700056310,42.5,0.05,5001,0.05,75,-1,Nifty 50,2021-03-18T14:30:00,13350,4
NSEFO,53171,2,BANKNIFTY,BANKNIFTY2130435500PE,OPTIDX,BANKNIFTY-OPTIDX,2106300053171,2395.5,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-04T14:30:00,35500,4
