ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize
NSECM,17933,8,BEARDSELL,BEARDSELL-EQ,EQ,BEARDSELL-EQ,1100100017933,10.9,9,918837,0.05,1
NSECM,11919,8,MSPL,MSPL-EQ,EQ,MSPL-EQ,1100100011919,8.15,7.45,12603070,0.05,1
NSECM,17764,8,REFEX,REFEX-EQ,EQ,REFEX-EQ,1100100017764,94.35,77.25,686766,0.05,1
NSECM,14485,8,THEMISMED,THEMISMED-EQ,EQ,THEMISMED-EQ,1100100014485,363.2,242.2,300447,0.05,1
NSECM,10099,8,GODREJCP,GODREJCP-EQ,EQ,GODREJCP-EQ,1100100010099,748.7,612.6,146215,0.05,1
NSECM,9552,8,RVNL,RVNL-EQ,EQ,RVNL-EQ,1100100009552,36.7,24.5,3267226,0.05,1
NSECM,1547,8,RKEC,RKEC-EQ,EQ,RKEC-EQ,1100100001547,85.2,56.8,784492,0.05,1
NSECM,10726,8,INDIAMART,INDIAMART-EQ,EQ,INDIAMART-EQ,1100100010726,10106.2,6737.5,11852,0.05,1
NSECM,5378,8,ASAHIINDIA,ASAHIINDIA-EQ,EQ,ASAHIINDIA-EQ,1100100005378,382.25,254.85,313829,0.05,1
NSECM,2043,8,RAMCOCEM,RAMCOCEM-EQ,EQ,RAMCOCEM-EQ,1100100002043,1098.9,899.1,100006,0.05,1
NSECM,31475,8,ORBTEXP,ORBTEXP-EQ,EQ,ORBTEXP-EQ,1100100031475,75,50,895426,0.05,1
NSECM,30089,8,ORIENTCEM,ORIENTCEM-EQ,EQ,ORIENTCEM-EQ,1100100030089,124.4,83,964317,0.05,1
NSECM,2049,8,CHENNPETRO,CHENNPETRO-EQ,EQ,CHENNPETRO-EQ,1100100002049,131.85,87.95,909848,0.05,1
NSECM,7229,8,HCLTECH,HCLTECH-EQ,EQ,HCLTECH-EQ,1100100007229,1107.95,906.55,97691,0.05,1
NSECM,1110,8,DANGEE,DANGEE-EQ,EQ,DANGEE-EQ,1100100001110,143.75,117.65,335665,0.05,1
NSECM,6407,8,LAMBODHARA,LAMBODHARA-EQ,EQ,LAMBODHARA-EQ,1100100006407,67,54.9,339347,0.05,1
NSECM,20196,8,BEDMUTHA,BEDMUTHA-EQ,EQ,BEDMUTHA-EQ,1100100020196,25.2,22.8,802183,0.05,1
NSECM,15271,8,CORDSCABLE,CORDSCABLE-EQ,EQ,CORDSCABLE-EQ,1100100015271,52.3,34.9,422738,0.05,1
NSECM,12022,8,AURIONPRO,AURIONPRO-EQ,EQ,AURIONPRO-EQ,1100100012022,160.8,131.6,683982,0.05,1
NSECM,13890,8,HIRECT,HIRECT-EQ,EQ,HIRECT-EQ,1100100013890,162.45,108.35,541633,0.05,1
NSECM,1922,8,KOTAKBANK,KOTAKBANK-EQ,EQ,KOTAKBANK-EQ,1100100001922,2093.5,1712.9,51474,0.05,1
NSECM,14828,8,WSI,WSI-EQ,EQ,WSI-EQ,1100100014828,5.1,4.7,858721,0.05,1
NSECM,4525,8,DYNAMATECH,DYNAMATECH-EQ,EQ,DYNAMATECH-EQ,1100100004525,1103.2,735.5,108768,0.05,1
NSECM,6961,8,MENONBE,MENONBE-EQ,EQ,MENONBE-EQ,1100100006961,60.9,49.9,1805048,0.05,1
