ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,42078,2,NIFTY,NIFTY25DEC17500CE,OPTIDX,NIFTY-OPTIDX,2535800042078,4423.65,2922.65,5001,0.05,75,-1,Nifty 50,2025-12-24T14:30:00,17500,3
NSEFO,45943,2,NIFTY,NIFTY21JUN8500PE,OPTIDX,NIFTY-OPTIDX,2117500045943,3.05,0.05,5001,0.05,75,-1,Nifty 50,2021-06-24T14:30:00,8500,4
NSEFO,48226,2,NIFTY,NIFTY2130413950CE,OPTIDX,NIFTY-OPTIDX,2106300048226,2484.35,320.55,5001,0.05,75,-1,Nifty 50,2021-03-04T14:30:00,13950,3
NSEFO,62162,2,BANKNIFTY,BANKNIFTY2131827300CE,OPTIDX,BANKNIFTY-OPTIDX,2107700062162,14119.9,6090.9,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,27300,3
NSEFO,49012,2,BANKNIFTY,BANKNIFTY21DEC24000PE,OPTIDX,BANKNIFTY-OPTIDX,2136400049012,605.7,0.05,2501,0.05,25,-1,Nifty Bank,2021-12-30T14:30:00,24000,4
NSEFO,56397,2,NIFTY,NIFTY2131814100PE,OPTIDX,NIFTY-OPTIDX,2107700056397,218.95,0.05,5001,0.05,75,-1,Nifty 50,2021-03-18T14:30:00,14100,4
NSEFO,42926,2,BANKNIFTY,BANKNIFTY21FEB33300PE,OPTIDX,BANKNIFTY-OPTIDX,2105600042926,213.9,0.05,2501,0.05,25,-1,Nifty Bank,2021-02-25T14:30:00,33300,4
NSEFO,40571,2,NIFTY,NIFTY21DEC10800PE,OPTIDX,NIFTY-OPTIDX,2136400040571,118.55,0.05,5001,0.05,75,-1,Nifty 50,2021-12-30T14:30:00,10800,4
NSEFO,62073,2,BANKNIFTY,BANKNIFTY21FEB29300PE,OPTIDX,BANKNIFTY-OPTIDX,2105600062073,3.05,0.05,2501,0.05,25,-1,Nifty Bank,2021-02-25T14:30:00,29300,4
NSEFO,43378,2,NIFTY,NIFTY23JUN14000PE,OPTIDX,NIFTY-OPTIDX,2318000043378,1303.05,692.15,5001,0.05,75,-1,Nifty 50,2023-06-29T14:30:00,14000,4
