ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,36212,2,BANKNIFTY,BANKNIFTY2131828400CE,OPTIDX,BANKNIFTY-OPTIDX,2107700036212,10742.9,3158.3,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,28400,3
NSEFO,44755,2,FINNIFTY,FINNIFTY2130417800CE,OPTIDX,FINNIFTY-OPTIDX,2106300044755,19.3,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-04T14:30:00,17800,3
NSEFO,41846,2,FINNIFTY,FINNIFTY2131819300PE,OPTIDX,FINNIFTY-OPTIDX,2107700041846,4546.7,1274.4,5001,0.05,40,-1,Nifty Fin Service,2021-03-18T14:30:00,19300,4
NSEFO,47831,2,NIFTY,NIFTY21MAR15900CE,OPTIDX,NIFTY-OPTIDX,2108400047831,232.1,0.05,5001,0.05,75,-1,Nifty 50,2021-03-25T14:30:00,15900,3
NSEFO,39440,2,BANKNIFTY,BANKNIFTY2131036700CE,OPTIDX,BANKNIFTY-OPTIDX,2106900039440,1390.25,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-10T14:30:00,36700,3
NSEFO,54900,2,NIFTY,NIFTY2140816700CE,OPTIDX,NIFTY-OPTIDX,2109800054900,188.5,0.05,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,16700,3
NSEFO,61964,2,FINNIFTY,FINNIFTY21MAY15400PE,OPTIDX,FINNIFTY-OPTIDX,2114700061964,1280.2,192.1,5001,0.05,40,-1,Nifty Fin Service,2021-05-27T14:30:00,15400,4
NSEFO,36997,2,BANKNIFTY,BANKNIFTY21APR35300CE,OPTIDX,BANKNIFTY-OPTIDX,2111900036997,4522.95,346.75,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,35300,3
NSEFO,39727,2,FINNIFTY,FINNIFTY2130419800CE,OPTIDX,FINNIFTY-OPTIDX,2106300039727,3.05,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-04T14:30:00,19800,3
NSEFO,53201,2,BANKNIFTY,BANKNIFTY21MAR35600PE,OPTIDX,BANKNIFTY-OPTIDX,2108400053201,3230.1,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,35600,4
NSEFO,53082,2,NIFTY,NIFTY2141513750CE,OPTIDX,NIFTY-OPTIDX,2110500053082,2141.4,387.8,5001,0.05,75,-1,Nifty 50,2021-04-15T14:30:00,13750,3
NSEFO,62216,2,NIFTY,NIFTY21MAY13900PE,OPTIDX,NIFTY-OPTIDX,2114700062216,722.2,82.2,5001,0.05,75,-1,Nifty 50,2021-05-27T14:30:00,13900,4
NSEFO,58736,2,BANKNIFTY,BANKNIFTY2140133400PE,OPTIDX,BANKNIFTY-OPTIDX,2109100058736,1952.5,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-01T14:30:00,33400,4
NSEFO,52007,2,BANKNIFTY,BANKNIFTY2141533000PE,OPTIDX,BANKNIFTY-OPTIDX,2110500052007,2070.45,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-15T14:30:00,33000,4
NSEFO,59893,2,FINNIFTY,FINNIFTY2142214500PE,OPTIDX,FINNIFTY-OPTIDX,2111200059893,548.25,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,14500,4
NSEFO,59670,2,BANKNIFTY,BANKNIFTY2142237600PE,OPTIDX,BANKNIFTY-OPTIDX,2111200059670,5812.8,1116.1,2501,0.05,25,-1,Nifty Bank,2021-04-22T14:30:00,37600,4
NSEFO,60100,2,NIFTY,NIFTY2142213650CE,OPTIDX,NIFTY-OPTIDX,2111200060100,2264.8,494.9,5001,0.05,75,-1,Nifty 50,2021-04-22T14:30:00,13650,3
NSEFO,48049,2,BANKNIFTY,BANKNIFTY2130429400PE,OPTIDX,BANKNIFTY-OPTIDX,2106300048049,3.05,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-04T14:30:00,29400,4
NSEFO,41896,2,NIFTY,NIFTY2131015300PE,OPTIDX,NIFTY-OPTIDX,2106900041896,1440.5,0.05,5001,0.05,75,-1,Nifty 50,2021-03-10T14:30:00,15300,4
NSEFO,54481,2,FINNIFTY,FINNIFTY2140820500CE,OPTIDX,FINNIFTY-OPTIDX,2109800054481,117.8,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-08T14:30:00,20500,3
NSEFO,56129,2,FINNIFTY,FINNIFTY2131815800PE,OPTIDX,FINNIFTY-OPTIDX,2107700056129,828.55,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-18T14:30:00,15800,4
NSEFO,48064,2,BANKNIFTY,BANKNIFTY2130430100PE,OPTIDX,BANKNIFTY-OPTIDX,2106300048064,11.45,5.45,2501,0.05,25,-1,Nifty Bank,2021-03-04T14:30:00,30100,4
NSEFO,39627,2,BANKNIFTY,BANKNIFTY2140136600PE,OPTIDX,BANKNIFTY-OPTIDX,2109100039627,4613.55,148.85,2501,0.05,25,-1,Nifty Bank,2021-04-01T14:30:00,36600,4
NSEFO,56415,2,NIFTY,NIFTY2131814450PE,OPTIDX,NIFTY-OPTIDX,2107700056415,601.75,0.05,5001,0.05,75,-1,Nifty 50,2021-03-18T14:30:00,14450,4
NSEFO,59522,2,FINNIFTY,FINNIFTY2140117900PE,OPTIDX,FINNIFTY-OPTIDX,2109100059522,3003.15,453.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,17900,4
NSEFO,47497,2,BANKNIFTY,BANKNIFTY2140832100CE,OPTIDX,BANKNIFTY-OPTIDX,2109800047497,6933.35,901.05,2501,0.05,25,-1,Nifty Bank,2021-04-08T14:30:00,32100,3
NSEFO,62227,2,NIFTY,NIFTY21MAY14200CE,OPTIDX,NIFTY-OPTIDX,2114700062227,1931.9,464.9,5001,0.05,75,-1,Nifty 50,2021-05-27T14:30:00,14200,3
NSEFO,55353,2,BANKNIFTY,BANKNIFTY21JUN35000PE,OPTIDX,BANKNIFTY-OPTIDX,2117500055353,4485.5,1283.1,2501,0.05,25,-1,Nifty Bank,2021-06-24T14:30:00,35000,4
NSEFO,45998,2,NIFTY,NIFTY21JUN10400CE,OPTIDX,NIFTY-OPTIDX,2117500045998,5594.2,3390.1,5001,0.05,75,-1,Nifty 50,2021-06-24T14:30:00,10400,3
NSEFO,44010,2,NIFTY,NIFTY23JUN11900PE,OPTIDX,NIFTY-OPTIDX,2318000044010,1006.5,601.4,5001,0.05,75,-1,Nifty 50,2023-06-29T14:30:00,11900,4
NSEFO,53706,2,NIFTY,NIFTY21APR16650PE,OPTIDX,NIFTY-OPTIDX,2111900053706,2860.05,1026.05,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,16650,4
NSEFO,48182,2,NIFTY,NIFTY2130412850CE,OPTIDX,NIFTY-OPTIDX,2106300048182,3028.7,802.1,5001,0.05,75,-1,Nifty 50,2021-03-04T14:30:00,12850,3
NSEFO,53083,2,NIFTY,NIFTY21JUN11100PE,OPTIDX,NIFTY-OPTIDX,2117500053083,57.8,0.05,5001,0.05,75,-1,Nifty 50,2021-06-24T14:30:00,11100,4
NSEFO,41832,2,FINNIFTY,FINNIFTY2130419400CE,OPTIDX,FINNIFTY-OPTIDX,2106300041832,3.05,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-04T14:30:00,19400,3
NSEFO,45826,2,NIFTY,NIFTY21DEC9000PE,OPTIDX,NIFTY-OPTIDX,2136400045826,53.4,16.6,5001,0.05,75,-1,Nifty 50,2021-12-30T14:30:00,9000,4
NSEFO,62253,2,BANKNIFTY,BANKNIFTY2140127500PE,OPTIDX,BANKNIFTY-OPTIDX,2109100062253,83.15,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-01T14:30:00,27500,4
NSEFO,43785,2,FINNIFTY,FINNIFTY2141513500CE,OPTIDX,FINNIFTY-OPTIDX,2110500043785,4580.15,1431.35,5001,0.05,40,-1,Nifty Fin Service,2021-04-15T14:30:00,13500,3
NSEFO,37051,2,FINNIFTY,FINNIFTY21APR18300PE,OPTIDX,FINNIFTY-OPTIDX,2111900037051,3447.9,1014.9,5001,0.05,40,-1,Nifty Fin Service,2021-04-29T14:30:00,18300,4
NSEFO,39529,2,BANKNIFTY,BANKNIFTY2130438900CE,OPTIDX,BANKNIFTY-OPTIDX,2106300039529,30.25,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-04T14:30:00,38900,3
NSEFO,45482,2,FINNIFTY,FINNIFTY21MAR16000PE,OPTIDX,FINNIFTY-OPTIDX,2108400045482,1109.45,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-25T14:30:00,16000,4
NSEFO,48078,2,BANKNIFTY,BANKNIFTY2130430400PE,OPTIDX,BANKNIFTY-OPTIDX,2106300048078,12.3,6.3,2501,0.05,25,-1,Nifty Bank,2021-03-04T14:30:00,30400,4
NSEFO,48137,2,BANKNIFTY,BANKNIFTY2130432400PE,OPTIDX,BANKNIFTY-OPTIDX,2106300048137,61.3,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-04T14:30:00,32400,4
NSEFO,60068,2,FINNIFTY,FINNIFTY2142219500CE,OPTIDX,FINNIFTY-OPTIDX,2111200060068,409.5,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,19500,3
NSEFO,50929,2,NIFTY,NIFTY22JUN10700PE,OPTIDX,NIFTY-OPTIDX,2218100050929,379.55,157.75,5001,0.05,75,-1,Nifty 50,2022-06-30T14:30:00,10700,4
NSEFO,58572,2,BANKNIFTY,BANKNIFTY2140129700CE,OPTIDX,BANKNIFTY-OPTIDX,2109100058572,9386.75,2243.95,2501,0.05,25,-1,Nifty Bank,2021-04-01T14:30:00,29700,3
NSEFO,36628,2,BANKNIFTY,BANKNIFTY21SEP25500PE,OPTIDX,BANKNIFTY-OPTIDX,2127300036628,1038.15,242.15,2501,0.05,25,-1,Nifty Bank,2021-09-30T14:30:00,25500,4
NSEFO,59597,2,NIFTY,NIFTY2140114000PE,OPTIDX,NIFTY-OPTIDX,2109100059597,448.1,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,14000,4
NSEFO,36970,2,BANKNIFTY,BANKNIFTY21APR34500PE,OPTIDX,BANKNIFTY-OPTIDX,2111900036970,3357.25,313.65,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,34500,4
NSEFO,53080,2,NIFTY,NIFTY2141513700PE,OPTIDX,NIFTY-OPTIDX,2110500053080,403.15,0.05,5001,0.05,75,-1,Nifty 50,2021-04-15T14:30:00,13700,4
NSEFO,42942,2,BANKNIFTY,BANKNIFTY2140832300PE,OPTIDX,BANKNIFTY-OPTIDX,2109800042942,1500.6,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-08T14:30:00,32300,4
NSEFO,60057,2,FINNIFTY,FINNIFTY2142218900PE,OPTIDX,FINNIFTY-OPTIDX,2111200060057,4031.4,1318,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,18900,4
NSEFO,43450,2,FINNIFTY,FINNIFTY2140818000CE,OPTIDX,FINNIFTY-OPTIDX,2109800043450,738.15,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-08T14:30:00,18000,3
NSEFO,62163,2,BANKNIFTY,BANKNIFTY2131827300PE,OPTIDX,BANKNIFTY-OPTIDX,2107700062163,8,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,27300,4
NSEFO,49008,2,BANKNIFTY,BANKNIFTY21MAR34200PE,OPTIDX,BANKNIFTY-OPTIDX,2108400049008,2076.4,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,34200,4
NSEFO,37000,2,BANKNIFTY,BANKNIFTY21APR35400PE,OPTIDX,BANKNIFTY-OPTIDX,2111900037000,4031.45,524.55,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,35400,4
NSEFO,61891,2,BANKNIFTY,BANKNIFTY21MAY39000CE,OPTIDX,BANKNIFTY-OPTIDX,2114700061891,2972.2,200.3,2501,0.05,25,-1,Nifty Bank,2021-05-27T14:30:00,39000,3
