ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,38620,2,NIFTY,NIFTY2140113050CE,OPTIDX,NIFTY-OPTIDX,2109100038620,3369.2,1120.1,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,13050,3
NSEFO,48128,2,BANKNIFTY,BANKNIFTY2130432000CE,OPTIDX,BANKNIFTY-OPTIDX,2106300048128,8359.25,503.85,2501,0.05,25,-1,Nifty Bank,2021-03-04T14:30:00,32000,3
NSEFO,52084,2,BANKNIFTY,BANKNIFTY2141535500PE,OPTIDX,BANKNIFTY-OPTIDX,2110500052084,3339.75,11.2,2501,0.05,25,-1,Nifty Bank,2021-04-15T14:30:00,35500,4
NSEFO,42949,2,BANKNIFTY,BANKNIFTY2140832500CE,OPTIDX,BANKNIFTY-OPTIDX,2109800042949,7704.85,1170.85,2501,0.05,25,-1,Nifty Bank,2021-04-08T14:30:00,32500,3
NSEFO,62137,2,FINNIFTY,FINNIFTY21MAY18600PE,OPTIDX,FINNIFTY-OPTIDX,2114700062137,3470.1,1149.7,5001,0.05,40,-1,Nifty Fin Service,2021-05-27T14:30:00,18600,4
NSEFO,59924,2,FINNIFTY,FINNIFTY2142216100CE,OPTIDX,FINNIFTY-OPTIDX,2111200059924,2582.15,278.25,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,16100,3
NSEFO,56160,2,FINNIFTY,FINNIFTY2131816300CE,OPTIDX,FINNIFTY-OPTIDX,2107700056160,2053.25,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-18T14:30:00,16300,3
NSEFO,48054,2,BANKNIFTY,BANKNIFTY2130429700CE,OPTIDX,BANKNIFTY-OPTIDX,2106300048054,10599.1,2736.55,2501,0.05,25,-1,Nifty Bank,2021-03-04T14:30:00,29700,3
NSEFO,44744,2,FINNIFTY,FINNIFTY2130417700CE,OPTIDX,FINNIFTY-OPTIDX,2106300044744,18.25,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-04T14:30:00,17700,3
NSEFO,41839,2,NIFTY,NIFTY2131014500PE,OPTIDX,NIFTY-OPTIDX,2106900041839,238.6,0.05,5001,0.05,75,-1,Nifty 50,2021-03-10T14:30:00,14500,4
NSEFO,47870,2,BANKNIFTY,BANKNIFTY2131839100PE,OPTIDX,BANKNIFTY-OPTIDX,2107700047870,6365.05,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,39100,4
NSEFO,41531,2,BANKNIFTY,BANKNIFTY2131032100CE,OPTIDX,BANKNIFTY-OPTIDX,2106900041531,8177.2,423.2,2501,0.05,25,-1,Nifty Bank,2021-03-10T14:30:00,32100,3
NSEFO,36751,2,FINNIFTY,FINNIFTY2141513700PE,OPTIDX,FINNIFTY-OPTIDX,2110500036751,177.05,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-15T14:30:00,13700,4
NSEFO,60039,2,FINNIFTY,FINNIFTY2142218400PE,OPTIDX,FINNIFTY-OPTIDX,2111200060039,3189.3,709.15,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,18400,4
NSEFO,53474,2,NIFTY,NIFTY2141515550CE,OPTIDX,NIFTY-OPTIDX,2110500053474,1023.35,0.05,5001,0.05,75,-1,Nifty 50,2021-04-15T14:30:00,15550,3
NSEFO,59934,2,FINNIFTY,FINNIFTY2142216600CE,OPTIDX,FINNIFTY-OPTIDX,2111200059934,2161.7,133.8,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,16600,3
NSEFO,59608,2,NIFTY,NIFTY2140114300CE,OPTIDX,NIFTY-OPTIDX,2109100059608,2053.95,197.45,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,14300,3
NSEFO,39594,2,BANKNIFTY,BANKNIFTY2140138900PE,OPTIDX,BANKNIFTY-OPTIDX,2109100039594,6162.45,502.6,2501,0.05,25,-1,Nifty Bank,2021-04-01T14:30:00,38900,4
NSEFO,39619,2,NIFTY,NIFTY21JUN16000CE,OPTIDX,NIFTY-OPTIDX,2117500039619,885.75,0.05,5001,0.05,75,-1,Nifty 50,2021-06-24T14:30:00,16000,3
NSEFO,53301,2,NIFTY,NIFTY2141514600PE,OPTIDX,NIFTY-OPTIDX,2110500053301,711.5,0.05,5001,0.05,75,-1,Nifty 50,2021-04-15T14:30:00,14600,4
NSEFO,47629,2,FINNIFTY,FINNIFTY2131818700CE,OPTIDX,FINNIFTY-OPTIDX,2107700047629,252.2,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-18T14:30:00,18700,3
NSEFO,49004,2,BANKNIFTY,BANKNIFTY21MAR34000PE,OPTIDX,BANKNIFTY-OPTIDX,2108400049004,1475.25,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,34000,4
NSEFO,35261,2,FINNIFTY,FINNIFTY2142213300PE,OPTIDX,FINNIFTY-OPTIDX,2111200035261,144.45,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,13300,4
