ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,56590,2,NIFTY,NIFTY2131812750PE,OPTIDX,NIFTY-OPTIDX,2107700056590,3.1,0.05,5001,0.05,75,-1,Nifty 50,2021-03-18T14:30:00,12750,4
NSEFO,66531,2,NIFTY,NIFTY21APR13450PE,OPTIDX,NIFTY-OPTIDX,2111900066531,277.8,0.05,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,13450,4
NSEFO,59363,2,NIFTY,NIFTY25JUN11500CE,OPTIDX,NIFTY-OPTIDX,2517700059363,7100.45,5204.35,5001,0.05,75,-1,Nifty 50,2025-06-26T14:30:00,11500,3
NSEFO,49080,2,NIFTY,NIFTY21MAR13600CE,OPTIDX,NIFTY-OPTIDX,2108400049080,2463.15,340.55,5001,0.05,75,-1,Nifty 50,2021-03-25T14:30:00,13600,3
NSEFO,49051,2,NIFTY,NIFTY21MAR12900CE,OPTIDX,NIFTY-OPTIDX,2108400049051,3196,964.8,5001,0.05,75,-1,Nifty 50,2021-03-25T14:30:00,12900,3
NSEFO,60326,2,NIFTY,NIFTY2142216250PE,OPTIDX,NIFTY-OPTIDX,2111200060326,2276.6,554.1,5001,0.05,75,-1,Nifty 50,2021-04-22T14:30:00,16250,4
NSEFO,43615,2,NIFTY,NIFTY2131016350PE,OPTIDX,NIFTY-OPTIDX,2106900043615,2514.35,266.75,5001,0.05,75,-1,Nifty 50,2021-03-10T14:30:00,16350,4
NSEFO,43494,2,FINNIFTY,FINNIFTY2140819100CE,OPTIDX,FINNIFTY-OPTIDX,2109800043494,237.4,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-08T14:30:00,19100,3
NSEFO,42976,2,BANKNIFTY,BANKNIFTY2140833100PE,OPTIDX,BANKNIFTY-OPTIDX,2109800042976,1753.25,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-08T14:30:00,33100,4
NSEFO,45081,2,BANKNIFTY,BANKNIFTY21APR39200CE,OPTIDX,BANKNIFTY-OPTIDX,2111900045081,1979.35,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,39200,3
NSEFO,56595,2,NIFTY,NIFTY2140112750PE,OPTIDX,NIFTY-OPTIDX,2109100056595,19.15,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,12750,4
NSEFO,65403,2,BANKNIFTY,BANKNIFTY21APR31800PE,OPTIDX,BANKNIFTY-OPTIDX,2111900065403,1560.65,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,31800,4
NSEFO,39830,2,FINNIFTY,FINNIFTY2131019200PE,OPTIDX,FINNIFTY-OPTIDX,2106900039830,4580.65,1240.85,5001,0.05,40,-1,Nifty Fin Service,2021-03-10T14:30:00,19200,4
NSEFO,35296,2,FINNIFTY,FINNIFTY21MAY13500PE,OPTIDX,FINNIFTY-OPTIDX,2114700035296,404,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-05-27T14:30:00,13500,4
NSEFO,42032,2,NIFTY,NIFTY21APR16250CE,OPTIDX,NIFTY-OPTIDX,2111900042032,520.2,0.05,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,16250,3
NSEFO,45457,2,FINNIFTY,FINNIFTY21MAR15400CE,OPTIDX,FINNIFTY-OPTIDX,2108400045457,2387.65,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-25T14:30:00,15400,3
NSEFO,47829,2,NIFTY,NIFTY2131016000CE,OPTIDX,NIFTY-OPTIDX,2106900047829,5.3,0.05,5001,0.05,75,-1,Nifty 50,2021-03-10T14:30:00,16000,3
NSEFO,41395,2,BANKNIFTY,BANKNIFTY2150634800PE,OPTIDX,BANKNIFTY-OPTIDX,2112600041395,3565.4,378.9,2501,0.05,25,-1,Nifty Bank,2021-05-06T14:30:00,34800,4
