ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,43764,2,NIFTY,NIFTY2140814350PE,OPTIDX,NIFTY-OPTIDX,2109800043764,806.45,0.05,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,14350,4
NSEFO,55206,2,BANKNIFTY,BANKNIFTY2131834700PE,OPTIDX,BANKNIFTY-OPTIDX,2107700055206,2777.3,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,34700,4
NSEFO,41715,2,BANKNIFTY,BANKNIFTY21MAR37800CE,OPTIDX,BANKNIFTY-OPTIDX,2108400041715,1251.55,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,37800,3
NSEFO,59445,2,FINNIFTY,FINNIFTY2140116300PE,OPTIDX,FINNIFTY-OPTIDX,2109100059445,1575.05,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,16300,4
NSEFO,66431,2,FINNIFTY,FINNIFTY21APR16600PE,OPTIDX,FINNIFTY-OPTIDX,2111900066431,1976.75,213.45,5001,0.05,40,-1,Nifty Fin Service,2021-04-29T14:30:00,16600,4
NSEFO,60292,2,NIFTY,NIFTY2142215550PE,OPTIDX,NIFTY-OPTIDX,2111200060292,1903.35,377.35,5001,0.05,75,-1,Nifty 50,2021-04-22T14:30:00,15550,4
NSEFO,59889,2,FINNIFTY,FINNIFTY2142214300PE,OPTIDX,FINNIFTY-OPTIDX,2111200059889,479.15,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,14300,4
NSEFO,65941,2,FINNIFTY,FINNIFTY21APR12700PE,OPTIDX,FINNIFTY-OPTIDX,2111900065941,119.85,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-29T14:30:00,12700,4
NSEFO,66586,2,NIFTY,NIFTY21APR14400CE,OPTIDX,NIFTY-OPTIDX,2111900066586,1328.6,70.3,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,14400,3
NSEFO,49023,2,BANKNIFTY,BANKNIFTY21DEC33000CE,OPTIDX,BANKNIFTY-OPTIDX,2136400049023,8360.5,3387.2,2501,0.05,25,-1,Nifty Bank,2021-12-30T14:30:00,33000,3
NSEFO,43724,2,NIFTY,NIFTY2140814000CE,OPTIDX,NIFTY-OPTIDX,2109800043724,1570.9,69,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,14000,3
NSEFO,43185,2,BANKNIFTY,BANKNIFTY21APR38300PE,OPTIDX,BANKNIFTY-OPTIDX,2111900043185,6617.25,1539.25,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,38300,4
NSEFO,59563,2,NIFTY,NIFTY2140113700PE,OPTIDX,NIFTY-OPTIDX,2109100059563,357.5,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,13700,4
NSEFO,66652,2,NIFTY,NIFTY21APR14800PE,OPTIDX,NIFTY-OPTIDX,2111900066652,1226.7,90,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,14800,4
NSEFO,62202,2,FINNIFTY,FINNIFTY21MAY19900PE,OPTIDX,FINNIFTY-OPTIDX,2114700062202,5137.8,2381.4,5001,0.05,40,-1,Nifty Fin Service,2021-05-27T14:30:00,19900,4
NSEFO,62171,2,BANKNIFTY,BANKNIFTY2131827700PE,OPTIDX,BANKNIFTY-OPTIDX,2107700062171,22.1,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,27700,4
NSEFO,55933,2,FINNIFTY,FINNIFTY2131813800CE,OPTIDX,FINNIFTY-OPTIDX,2107700055933,3928.3,725.3,5001,0.05,40,-1,Nifty Fin Service,2021-03-18T14:30:00,13800,3
NSEFO,39010,2,BANKNIFTY,BANKNIFTY21APR38500PE,OPTIDX,BANKNIFTY-OPTIDX,2111900039010,6810,1648.3,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,38500,4
NSEFO,43397,2,FINNIFTY,FINNIFTY2140816200PE,OPTIDX,FINNIFTY-OPTIDX,2109800043397,1532.65,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-08T14:30:00,16200,4
