ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize
NSECM,17181,8,MANXT50,MANXT50-EQ,EQ,MANXT50-EQ,1100100017181,415.45,276.97,32800,0.01,1
NSECM,2969,8,SAKHTISUG,SAKHTISUG-EQ,EQ,SAKHTISUG-EQ,1100100002969,10.5,8.6,3886363,0.05,1
NSECM,22233,8,DHUNINV,DHUNINV-EQ,EQ,DHUNINV-EQ,1100100022233,336.6,224.4,199377,0.05,1
NSECM,10580,8,TCI,TCI-EQ,EQ,TCI-EQ,1100100010580,292,194.7,410929,0.05,1
NSECM,11511,8,CENTEXT,CENTEXT-EQ,EQ,CENTEXT-EQ,1100100011511,4.85,4.05,2615999,0.05,1
NSECM,20140,8,GALLISPAT,GALLISPAT-EQ,EQ,GALLISPAT-EQ,1100100020140,45.9,30.6,2614377,0.05,1
NSECM,14334,8,HSCL,HSCL-EQ,EQ,HSCL-EQ,1100100014334,54.2,36.2,2212142,0.05,1
NSECM,11364,8,VAIBHAVGBL,VAIBHAVGBL-EQ,EQ,VAIBHAVGBL-EQ,1100100011364,5233.1,3488.8,22913,0.05,1
NSECM,14612,8,SIMBHALS,SIMBHALS-EQ,EQ,SIMBHALS-EQ,1100100014612,8.15,7.45,1349823,0.05,1
NSECM,2385,8,NAVNETEDUL,NAVNETEDUL-EQ,EQ,NAVNETEDUL-EQ,1100100002385,102.15,68.15,1174334,0.05,1
NSECM,13421,8,EMKAY,EMKAY-EQ,EQ,EMKAY-EQ,1100100013421,88.65,59.15,805042,0.05,1
NSECM,25584,8,TRITURBINE,TRITURBINE-EQ,EQ,TRITURBINE-EQ,1100100025584,120.45,80.35,995780,0.05,1
NSECM,20314,8,NRAIL,NRAIL-EQ,EQ,NRAIL-EQ,1100100020314,301.85,201.25,397532,0.05,1
NSECM,11739,8,SHRIRAMCIT,SHRIRAMCIT-EQ,EQ,SHRIRAMCIT-EQ,1100100011739,1653.65,1353.05,66466,0.05,1
NSECM,11439,8,BANKBEES,BANKBEES-EQ,EQ,BANKBEES-EQ,1100100011439,427.99,285.33,280289,0.01,1
NSECM,12124,8,DOLAT,DOLAT-EQ,EQ,DOLAT-EQ,1100100012124,67.7,45.2,1771439,0.05,1
NSECM,21808,8,SBILIFE,SBILIFE-EQ,EQ,SBILIFE-EQ,1100100021808,1012,828,108005,0.05,1
NSECM,13275,8,INDOTECH,INDOTECH-EQ,EQ,INDOTECH-EQ,1100100013275,118.05,78.75,347273,0.05,1
NSECM,17333,8,MHRIL,MHRIL-EQ,EQ,MHRIL-EQ,1100100017333,271.7,181.2,441528,0.05,1
NSECM,24184,8,PIIND,PIIND-EQ,EQ,PIIND-EQ,1100100024184,2458.15,2011.25,44603,0.05,1
NSECM,5900,8,AXISBANK,AXISBANK-EQ,EQ,AXISBANK-EQ,1100100005900,818.8,670,131630,0.05,1
NSECM,17307,8,AJMERA,AJMERA-EQ,EQ,AJMERA-EQ,1100100017307,150.3,100.2,798374,0.05,1
NSECM,7048,8,HESTERBIO,HESTERBIO-EQ,EQ,HESTERBIO-EQ,1100100007048,2119.9,1413.3,56604,0.05,1
NSECM,14134,8,PITTIENG,PITTIENG-EQ,EQ,PITTIENG-EQ,1100100014134,87,58,1048037,0.05,1
