ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,43898,2,NIFTY,NIFTY2140815250CE,OPTIDX,NIFTY-OPTIDX,2109800043898,1047.6,0.05,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,15250,3
NSEFO,66494,2,NIFTY,NIFTY21APR12600CE,OPTIDX,NIFTY-OPTIDX,2111900066494,3761.95,1558.55,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,12600,3
NSEFO,53143,2,NIFTY,NIFTY2141513900PE,OPTIDX,NIFTY-OPTIDX,2110500053143,265.35,0.05,5001,0.05,75,-1,Nifty 50,2021-04-15T14:30:00,13900,4
NSEFO,49078,2,NIFTY,NIFTY21MAR13550CE,OPTIDX,NIFTY-OPTIDX,2108400049078,2767.6,538.3,5001,0.05,75,-1,Nifty 50,2021-03-25T14:30:00,13550,3
NSEFO,44075,2,NIFTY,NIFTY23JUN13000CE,OPTIDX,NIFTY-OPTIDX,2318000044075,5186.15,3413.15,5001,0.05,75,-1,Nifty 50,2023-06-29T14:30:00,13000,3
NSEFO,61772,2,BANKNIFTY,BANKNIFTY21MAY37000CE,OPTIDX,BANKNIFTY-OPTIDX,2114700061772,4267.5,475.6,2501,0.05,25,-1,Nifty Bank,2021-05-27T14:30:00,37000,3
NSEFO,39039,2,BANKNIFTY,BANKNIFTY21SEP41000CE,OPTIDX,BANKNIFTY-OPTIDX,2127300039039,4422.25,1214.65,2501,0.05,25,-1,Nifty Bank,2021-09-30T14:30:00,41000,3
NSEFO,59498,2,BANKNIFTY,BANKNIFTY2142235300PE,OPTIDX,BANKNIFTY-OPTIDX,2111200059498,3194,42.6,2501,0.05,25,-1,Nifty Bank,2021-04-22T14:30:00,35300,4
NSEFO,44898,2,BANKNIFTY,BANKNIFTY21MAR39900CE,OPTIDX,BANKNIFTY-OPTIDX,2108400044898,570.45,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,39900,3
NSEFO,66508,2,NIFTY,NIFTY21APR12950CE,OPTIDX,NIFTY-OPTIDX,2111900066508,3406.25,1254.85,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,12950,3
