ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,49132,2,NIFTY,NIFTY21MAR14850PE,OPTIDX,NIFTY-OPTIDX,2108400049132,610.5,0.05,5001,0.05,75,-1,Nifty 50,2021-03-25T14:30:00,14850,4
NSEFO,63178,2,NIFTY,NIFTY2131812550CE,OPTIDX,NIFTY-OPTIDX,2107700063178,3612,1365.2,5001,0.05,75,-1,Nifty 50,2021-03-18T14:30:00,12550,3
NSEFO,44902,2,BANKNIFTY,BANKNIFTY21MAR40100CE,OPTIDX,BANKNIFTY-OPTIDX,2108400044902,254.1,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,40100,3
NSEFO,41925,2,FINNIFTY,FINNIFTY2150615600PE,OPTIDX,FINNIFTY-OPTIDX,2112600041925,1075.4,23.6,5001,0.05,40,-1,Nifty Fin Service,2021-05-06T14:30:00,15600,4
NSEFO,60013,2,NIFTY,NIFTY2140115950CE,OPTIDX,NIFTY-OPTIDX,2109100060013,326.55,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,15950,3
NSEFO,66395,2,FINNIFTY,FINNIFTY21APR15000PE,OPTIDX,FINNIFTY-OPTIDX,2111900066395,672.25,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-29T14:30:00,15000,4
NSEFO,59903,2,FINNIFTY,FINNIFTY2142215000PE,OPTIDX,FINNIFTY-OPTIDX,2111200059903,598.75,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,15000,4
NSEFO,39903,2,NIFTY,NIFTY2140116150CE,OPTIDX,NIFTY-OPTIDX,2109100039903,239.25,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,16150,3
NSEFO,60319,2,NIFTY,NIFTY2142216100CE,OPTIDX,NIFTY-OPTIDX,2111200060319,513.6,0.05,5001,0.05,75,-1,Nifty 50,2021-04-22T14:30:00,16100,3
NSEFO,39831,2,FINNIFTY,FINNIFTY2131818800CE,OPTIDX,FINNIFTY-OPTIDX,2107700039831,4.35,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-18T14:30:00,18800,3
NSEFO,39588,2,BANKNIFTY,BANKNIFTY2140138900CE,OPTIDX,BANKNIFTY-OPTIDX,2109100039588,989.3,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-01T14:30:00,38900,3
NSEFO,59336,2,FINNIFTY,FINNIFTY2140114800PE,OPTIDX,FINNIFTY-OPTIDX,2109100059336,234.1,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,14800,4
NSEFO,38599,2,NIFTY,NIFTY2140112850PE,OPTIDX,NIFTY-OPTIDX,2109100038599,9.15,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,12850,4
NSEFO,43957,2,NIFTY,NIFTY2140815950PE,OPTIDX,NIFTY-OPTIDX,2109800043957,1898.7,179.3,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,15950,4
NSEFO,55352,2,BANKNIFTY,BANKNIFTY21JUN35000CE,OPTIDX,BANKNIFTY-OPTIDX,2117500055352,5730.1,1268.4,2501,0.05,25,-1,Nifty Bank,2021-06-24T14:30:00,35000,3
NSEFO,59471,2,FINNIFTY,FINNIFTY2140117000PE,OPTIDX,FINNIFTY-OPTIDX,2109100059471,1892.85,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,17000,4
NSEFO,52033,2,BANKNIFTY,BANKNIFTY2141534100CE,OPTIDX,BANKNIFTY-OPTIDX,2110500052033,5104.45,74.95,2501,0.05,25,-1,Nifty Bank,2021-04-15T14:30:00,34100,3
NSEFO,43998,2,NIFTY,NIFTY23JUN11500PE,OPTIDX,NIFTY-OPTIDX,2318000043998,796.55,458.55,5001,0.05,75,-1,Nifty 50,2023-06-29T14:30:00,11500,4
NSEFO,59475,2,BANKNIFTY,BANKNIFTY2142234400CE,OPTIDX,BANKNIFTY-OPTIDX,2111200059475,4979.65,197.65,2501,0.05,25,-1,Nifty Bank,2021-04-22T14:30:00,34400,3
NSEFO,43986,2,NIFTY,NIFTY2141513450CE,OPTIDX,NIFTY-OPTIDX,2110500043986,2714.75,650.65,5001,0.05,75,-1,Nifty 50,2021-04-15T14:30:00,13450,3
NSEFO,43933,2,NIFTY,NIFTY2140815650PE,OPTIDX,NIFTY-OPTIDX,2109800043933,1581.75,52.85,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,15650,4
NSEFO,43134,2,BANKNIFTY,BANKNIFTY2140837500CE,OPTIDX,BANKNIFTY-OPTIDX,2109800043134,2096.75,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-08T14:30:00,37500,3
NSEFO,53111,2,FINNIFTY,FINNIFTY2140120400CE,OPTIDX,FINNIFTY-OPTIDX,2109100053111,20.75,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,20400,3
NSEFO,60336,2,NIFTY,NIFTY2142216500PE,OPTIDX,NIFTY-OPTIDX,2111200060336,2462.3,623.1,5001,0.05,75,-1,Nifty 50,2021-04-22T14:30:00,16500,4
NSEFO,66515,2,NIFTY,NIFTY21APR13100PE,OPTIDX,NIFTY-OPTIDX,2111900066515,113.65,0.05,5001,0.05,75,-1,Nifty 50,2021-04-29T14:30:00,13100,4
NSEFO,39521,2,BANKNIFTY,BANKNIFTY2131837200PE,OPTIDX,BANKNIFTY-OPTIDX,2107700039521,5052.15,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,37200,4
NSEFO,42017,2,FINNIFTY,FINNIFTY2150617800PE,OPTIDX,FINNIFTY-OPTIDX,2112600042017,2839.55,633.85,5001,0.05,40,-1,Nifty Fin Service,2021-05-06T14:30:00,17800,4
NSEFO,43180,2,BANKNIFTY,BANKNIFTY21APR38100PE,OPTIDX,BANKNIFTY-OPTIDX,2111900043180,6049.3,1121.5,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,38100,4
NSEFO,37098,2,BANKNIFTY,BANKNIFTY2131828600PE,OPTIDX,BANKNIFTY-OPTIDX,2107700037098,3.05,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,28600,4
NSEFO,39606,2,BANKNIFTY,BANKNIFTY2140839000CE,OPTIDX,BANKNIFTY-OPTIDX,2109800039606,1278.1,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-08T14:30:00,39000,3
NSEFO,45091,2,BANKNIFTY,BANKNIFTY21APR39400CE,OPTIDX,BANKNIFTY-OPTIDX,2111900045091,1853.9,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-29T14:30:00,39400,3
NSEFO,59987,2,FINNIFTY,FINNIFTY2142218200PE,OPTIDX,FINNIFTY-OPTIDX,2111200059987,3195.65,670.55,5001,0.05,40,-1,Nifty Fin Service,2021-04-22T14:30:00,18200,4
NSEFO,39538,2,BANKNIFTY,BANKNIFTY21MAR36400PE,OPTIDX,BANKNIFTY-OPTIDX,2108400039538,3663.95,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,36400,4
NSEFO,35020,2,BANKNIFTY,BANKNIFTY2140831900PE,OPTIDX,BANKNIFTY-OPTIDX,2109800035020,855,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-08T14:30:00,31900,4
NSEFO,54474,2,FINNIFTY,FINNIFTY2140820200CE,OPTIDX,FINNIFTY-OPTIDX,2109800054474,70.9,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-08T14:30:00,20200,3
NSEFO,41738,2,NIFTY,NIFTY21DEC11600PE,OPTIDX,NIFTY-OPTIDX,2136400041738,330.85,98.05,5001,0.05,75,-1,Nifty 50,2021-12-30T14:30:00,11600,4
NSEFO,49015,2,BANKNIFTY,BANKNIFTY21DEC27000CE,OPTIDX,BANKNIFTY-OPTIDX,2136400049015,13770.1,7355.8,2501,0.05,25,-1,Nifty Bank,2021-12-30T14:30:00,27000,3
NSEFO,36253,2,FINNIFTY,FINNIFTY21MAR20000PE,OPTIDX,FINNIFTY-OPTIDX,2108400036253,5151.05,1787.65,5001,0.05,40,-1,Nifty Fin Service,2021-03-25T14:30:00,20000,4
NSEFO,41418,2,BANKNIFTY,BANKNIFTY2150635400PE,OPTIDX,BANKNIFTY-OPTIDX,2112600041418,3790.5,387.9,2501,0.05,25,-1,Nifty Bank,2021-05-06T14:30:00,35400,4
NSEFO,59526,2,BANKNIFTY,BANKNIFTY2142236000PE,OPTIDX,BANKNIFTY-OPTIDX,2111200059526,4039,217.3,2501,0.05,25,-1,Nifty Bank,2021-04-22T14:30:00,36000,4
NSEFO,66475,2,NIFTY,NIFTY2140112400PE,OPTIDX,NIFTY-OPTIDX,2109100066475,3.5,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,12400,4
NSEFO,44533,2,NIFTY,NIFTY2151215050CE,OPTIDX,NIFTY-OPTIDX,2113200044533,1342.35,130.05,5001,0.05,75,-1,Nifty 50,2021-05-12T14:30:00,15050,3
NSEFO,43405,2,NIFTY,NIFTY22DEC14500CE,OPTIDX,NIFTY-OPTIDX,2236300043405,3750.65,2227.65,5001,0.05,75,-1,Nifty 50,2022-12-29T14:30:00,14500,3
NSEFO,60102,2,NIFTY,NIFTY2142213700CE,OPTIDX,NIFTY-OPTIDX,2111200060102,2467.3,533.5,5001,0.05,75,-1,Nifty 50,2021-04-22T14:30:00,13700,3
NSEFO,44233,2,BANKNIFTY,BANKNIFTY2151236500PE,OPTIDX,BANKNIFTY-OPTIDX,2113200044233,4770.2,821,2501,0.05,25,-1,Nifty Bank,2021-05-12T14:30:00,36500,4
NSEFO,52577,2,FINNIFTY,FINNIFTY2141516200PE,OPTIDX,FINNIFTY-OPTIDX,2110500052577,1285.15,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-15T14:30:00,16200,4
NSEFO,37029,2,FINNIFTY,FINNIFTY2140118600PE,OPTIDX,FINNIFTY-OPTIDX,2109100037029,3658.3,604.5,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,18600,4
NSEFO,41504,2,FINNIFTY,FINNIFTY21MAR19800CE,OPTIDX,FINNIFTY-OPTIDX,2108400041504,10.05,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-25T14:30:00,19800,3
NSEFO,66391,2,FINNIFTY,FINNIFTY21APR14800PE,OPTIDX,FINNIFTY-OPTIDX,2111900066391,576.9,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-29T14:30:00,14800,4
NSEFO,53641,2,NIFTY,NIFTY2141516200CE,OPTIDX,NIFTY-OPTIDX,2110500053641,394.5,0.05,5001,0.05,75,-1,Nifty 50,2021-04-15T14:30:00,16200,3
NSEFO,59650,2,NIFTY,NIFTY2140114750PE,OPTIDX,NIFTY-OPTIDX,2109100059650,665.3,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,14750,4
NSEFO,44579,2,NIFTY,NIFTY2151215750CE,OPTIDX,NIFTY-OPTIDX,2113200044579,877,15.7,5001,0.05,75,-1,Nifty 50,2021-05-12T14:30:00,15750,3
NSEFO,54902,2,NIFTY,NIFTY2140816750CE,OPTIDX,NIFTY-OPTIDX,2109800054902,143.95,0.05,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,16750,3
NSEFO,59369,2,FINNIFTY,FINNIFTY2140115400PE,OPTIDX,FINNIFTY-OPTIDX,2109100059369,507.35,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,15400,4
NSEFO,43918,2,NIFTY,NIFTY2140815500CE,OPTIDX,NIFTY-OPTIDX,2109800043918,701.6,0.05,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,15500,3
NSEFO,45136,2,BANKNIFTY,BANKNIFTY21SEP42000PE,OPTIDX,BANKNIFTY-OPTIDX,2127300045136,10374.95,5577.75,2501,0.05,25,-1,Nifty Bank,2021-09-30T14:30:00,42000,4
NSEFO,39597,2,BANKNIFTY,BANKNIFTY2140139000PE,OPTIDX,BANKNIFTY-OPTIDX,2109100039597,6910.65,574.55,2501,0.05,25,-1,Nifty Bank,2021-04-01T14:30:00,39000,4
NSEFO,43991,2,NIFTY,NIFTY2140816300CE,OPTIDX,NIFTY-OPTIDX,2109800043991,274.4,0.05,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,16300,3
NSEFO,62188,2,BANKNIFTY,BANKNIFTY21MAR27700CE,OPTIDX,BANKNIFTY-OPTIDX,2108400062188,11628.65,4038.45,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,27700,3
NSEFO,43627,2,NIFTY,NIFTY2131816350CE,OPTIDX,NIFTY-OPTIDX,2107700043627,5.85,0.05,5001,0.05,75,-1,Nifty 50,2021-03-18T14:30:00,16350,3
NSEFO,44443,2,FINNIFTY,FINNIFTY2151219200CE,OPTIDX,FINNIFTY-OPTIDX,2113200044443,615.1,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-05-12T14:30:00,19200,3
NSEFO,43740,2,NIFTY,NIFTY2140814150CE,OPTIDX,NIFTY-OPTIDX,2109800043740,1963.3,142.3,5001,0.05,75,-1,Nifty 50,2021-04-08T14:30:00,14150,3
NSEFO,44848,2,BANKNIFTY,BANKNIFTY2131840000PE,OPTIDX,BANKNIFTY-OPTIDX,2107700044848,8272.25,701.75,2501,0.05,25,-1,Nifty Bank,2021-03-18T14:30:00,40000,4
NSEFO,39883,2,FINNIFTY,FINNIFTY2140118900PE,OPTIDX,FINNIFTY-OPTIDX,2109100039883,3980.6,834,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,18900,4
